Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
13800,13800,0.1749,60,medical,1.68%,NY,RENT,4166.67,710-714,3,2766,0,8 years,710
10000,10000,0.1864,60,debt_consolidation,12.19%,CA,RENT,6800,700-704,24,8311,1,4 years,700
8000,7725,0.1099,36,credit_card,13.40%,FL,MORTGAGE,7000,735-739,3,175087,1,10+ years,735
15000,15000,0.1727,36,debt_consolidation,33.30%,WY,RENT,3000,670-674,20,15092,0,10+ years,670
4800,4800,0.0662,36,car,10.42%,TX,MORTGAGE,7291.67,815-819,14,0,0,< 1 year,815
24250,17431.82,0.1223,60,credit_card,23.79%,OH,MORTGAGE,5833.33,730-734,6,31061,2,10+ years,730
7000,6975,0.0691,36,vacation,21.23%,CA,RENT,3000,715-719,12,10784,1,5 years,715
10500,10500,0.1212,36,major_purchase,5.42%,NY,RENT,5000,700-704,4,502,0,2 years,700
25000,24950,0.2149,60,debt_consolidation,23.79%,NV,MORTGAGE,5666.67,690-694,8,27699,1,8 years,690
21000,21000,0.1433,60,debt_consolidation,6.16%,OH,MORTGAGE,8333.33,715-719,10,22196,0,10+ years,715
14400,14400,0.1426,36,debt_consolidation,24.41%,PA,MORTGAGE,5833.33,685-689,9,25515,5,8 years,685
9600,9600,0.1074,36,debt_consolidation,8.62%,MA,RENT,3458.33,720-724,4,8915,0,10+ years,720
12000,12000,0.0888,60,credit_card,19.38%,MT,MORTGAGE,4000,795-799,7,143151,0,4 years,795
10000,10000,0.1186,36,major_purchase,11.15%,GA,OWN,13333,705-709,12,36672,2,1 year,705
4000,4000,0.1465,36,moving,22.38%,CA,RENT,4000,665-669,10,18833,2,< 1 year,665
20000,20000,0.2149,36,debt_consolidation,19.10%,FL,RENT,6000,665-669,7,21202,2,10+ years,665
31300,31300,0.2295,60,debt_consolidation,34.06%,MD,OWN,5833.33,665-669,11,25344,0,5 years,665
6900,6900,0.079,36,home_improvement,14.18%,MI,OWN,2750,710-714,14,4087,0,6 years,710
30000,17982.94,0.1788,60,wedding,24.36%,NY,RENT,5632.33,690-694,10,24217,0,5 years,690
2000,2000,0.1242,36,wedding,1.99%,NY,RENT,2518.75,675-679,5,985,0,7 years,675
12000,12000,0.079,36,credit_card,13.18%,NJ,OWN,5833.33,725-729,8,9866,0,4 years,725
3300,3300,0.1037,36,small_business,5.47%,AL,RENT,3125,690-694,8,2623,0,7 years,690
25000,25000,0.1433,36,credit_card,14.92%,CA,MORTGAGE,10000,695-699,16,46708,0,10+ years,695
6000,5950,0.1038,36,debt_consolidation,6.61%,GA,RENT,2300,720-724,5,4006,1,2 years,720
3250,3250,0.21,36,small_business,31.84%,OR,RENT,2858.33,690-694,5,17662,0,6 years,690
16500,16175,0.1223,60,home_improvement,6.41%,MA,MORTGAGE,5833.33,715-719,8,30455,2,< 1 year,715
31000,31000,0.21,60,debt_consolidation,11.48%,NY,RENT,5833.33,705-709,12,27120,0,< 1 year,705
4000,4000,0.1433,36,debt_consolidation,2.95%,KS,MORTGAGE,2916.67,750-754,2,2476,0,10+ years,750
6000,6000,0.1749,36,moving,1.58%,MD,RENT,4416.67,665-669,3,2426,2,8 years,665
7500,7500,0.0662,36,debt_consolidation,13.13%,PA,MORTGAGE,9583.33,710-714,20,22464,0,4 years,710
12000,11975,0.0849,36,debt_consolidation,8.36%,CA,RENT,4500,745-749,12,8422,0,10+ years,745
20000,20000,0.1849,36,debt_consolidation,21.80%,CA,RENT,6666.67,685-689,20,22990,6,10+ years,685
24000,24000,0.2247,60,debt_consolidation,30.97%,VA,MORTGAGE,10104.17,675-679,14,37686,0,10+ years,675
7500,7500,0.1999,36,debt_consolidation,19.06%,CA,RENT,3348,660-664,8,5322,0,10+ years,660
6250,900,0.1754,36,debt_consolidation,19.85%,IN,RENT,2916.67,655-659,17,17659,9,< 1 year,655
5000,4900,0.0692,36,home_improvement,10.59%,TX,MORTGAGE,7083.33,755-759,9,0,3,1 year,755
10000,10000,0.1074,36,small_business,22.74%,NY,MORTGAGE,5416.67,710-714,4,20143,1,10+ years,710
12000,11341.5,0.0691,36,debt_consolidation,17.92%,WA,RENT,5200,710-714,16,8182,0,< 1 year,710
7000,6775,0.0932,36,debt_consolidation,8.34%,CA,RENT,5000,745-749,6,3337,1,< 1 year,745
4000,4000,0.0749,36,car,0.52%,CA,RENT,5416.67,755-759,4,929,0,1 year,755
7800,7800,0.1311,36,credit_card,15.56%,FL,MORTGAGE,5000,680-684,8,12889,0,5 years,680
15000,15000,0.1527,36,debt_consolidation,15.58%,WV,RENT,6666.67,680-684,11,23226,1,2 years,680
14125,14125,0.1849,36,debt_consolidation,8.10%,NY,RENT,3000,670-674,6,8992,1,10+ years,670
8000,8000,0.0542,36,credit_card,4.47%,CA,OWN,3936,780-784,7,5235,0,10+ years,780
4325,4325,0.0749,36,credit_card,5.47%,FL,MORTGAGE,3691.67,715-719,9,5074,0,10+ years,715
15000,15000,0.1349,36,car,9.73%,VA,RENT,3000,705-709,9,7005,1,4 years,705
12000,12000,0.1016,36,debt_consolidation,28.01%,NY,RENT,2916.67,710-714,8,6913,0,3 years,710
6575,6575,0.089,36,debt_consolidation,4.39%,FL,MORTGAGE,7500,710-714,5,6670,0,8 years,710
9000,9000,0.1016,36,debt_consolidation,13.76%,CA,RENT,5166.67,710-714,10,6490,0,10+ years,710
4500,4500,0.0888,36,credit_card,7.07%,OR,MORTGAGE,5250,710-714,10,9356,2,9 years,710
20000,19875,0.1025,36,credit_card,13.38%,FL,MORTGAGE,10000,750-754,14,25668,1,8 years,750
1950,1950,0.1311,36,other,15.08%,CA,RENT,2600,680-684,6,4100,1,3 years,680
35000,35000,0.1629,36,debt_consolidation,17.17%,NY,MORTGAGE,39583.33,705-709,14,55965,2,10+ years,705
8000,8000,0.1409,36,credit_card,16.22%,OK,RENT,4166.67,675-679,12,16838,0,5 years,675
15000,15000,0.1059,36,medical,7.55%,CA,RENT,8750,740-744,6,6056,1,9 years,740
5650,5650,0.0766,36,debt_consolidation,16.49%,GA,MORTGAGE,5100,700-704,6,9863,0,1 year,700
6800,6800,0.158,36,debt_consolidation,15.43%,NC,RENT,2708.33,680-684,5,2964,0,1 year,680
3000,3000,0.1905,36,other,28.74%,CA,MORTGAGE,7116.25,660-664,7,7416,0,10+ years,660
5675,5675,0.1114,36,debt_consolidation,29.40%,CA,RENT,2333.33,705-709,6,9687,1,5 years,705
12000,12000,0.1793,60,debt_consolidation,0.72%,KY,MORTGAGE,6500,670-674,4,1549,1,10+ years,670
11100,11100,0.1531,36,debt_consolidation,12.03%,WA,MORTGAGE,2666.67,680-684,12,8990,0,10+ years,680
16000,16000,0.1905,60,debt_consolidation,17.82%,NY,RENT,6666.67,690-694,16,11232,2,5 years,690
4800,4800,0.1059,36,debt_consolidation,20.21%,IL,RENT,2666.67,710-714,5,3831,1,6 years,710
6200,6200,0.1531,36,credit_card,20.52%,CA,RENT,1940,665-669,5,16850,0,n/a,665
6000,6000,0.1016,36,credit_card,15.88%,CA,OWN,5166.67,710-714,13,8862,3,7 years,710
2250,2250,0.1036,36,car,17.97%,GA,OWN,5833.33,680-684,12,14637,0,2 years,680
24000,14860.05,0.1361,60,debt_consolidation,10.77%,OH,MORTGAGE,7750,715-719,11,2594,2,5 years,715
10000,10000,0.1212,36,debt_consolidation,5.84%,PA,RENT,4333.33,695-699,6,4665,0,1 year,695
10000,10000,0.1409,36,debt_consolidation,17.15%,AZ,MORTGAGE,10416.67,670-674,12,12492,4,10+ years,670
12000,12000,0.1311,36,credit_card,6.10%,IL,MORTGAGE,4833.33,665-669,9,12025,0,9 years,665
12000,12000,0.1311,36,debt_consolidation,18.32%,NC,RENT,3916.67,690-694,14,12134,0,8 years,690
20800,13796.59,0.1221,36,credit_card,16.94%,TX,MORTGAGE,5833.33,750-754,11,14337,0,10+ years,750
8000,8000,0.1269,36,debt_consolidation,17.10%,SC,MORTGAGE,7083,695-699,11,9345,3,4 years,695
10000,10000,0.1016,36,debt_consolidation,11.98%,CA,RENT,4166.67,705-709,9,10979,0,4 years,705
6000,6000,0.1427,36,debt_consolidation,7.64%,IL,MORTGAGE,5184.75,675-679,8,14422,0,2 years,675
4500,4500,0.1212,36,debt_consolidation,14.32%,AZ,RENT,1250,675-679,8,6265,0,5 years,675
3600,3600,0.0749,36,medical,15.72%,TX,RENT,2500,740-744,8,650,0,< 1 year,740
11200,11200,0.158,36,debt_consolidation,12.15%,FL,RENT,2666.67,675-679,9,5666,1,10+ years,675
4000,3925,0.1149,36,other,13.98%,VA,MORTGAGE,4700,695-699,7,19310,3,n/a,695
6000,6000,0.1349,60,debt_consolidation,14.34%,KY,RENT,3458,690-694,6,2072,0,10+ years,690
17000,17000,0.1311,36,debt_consolidation,15.33%,CO,MORTGAGE,10666.67,720-724,18,26539,1,10+ years,720
8000,8000,0.1311,36,debt_consolidation,6.74%,UT,MORTGAGE,4583.33,665-669,13,9085,1,10+ years,665
2800,2800,0.074,36,educational,7.96%,MD,MORTGAGE,4158,805-809,12,562,0,8 years,805
12375,12375,0.0603,36,debt_consolidation,19.24%,PA,MORTGAGE,6750,790-794,11,8135,0,1 year,790
18825,18825,0.1727,60,credit_card,33.15%,MI,MORTGAGE,3583.33,690-694,12,13426,0,8 years,690
9600,9600,0.1114,36,debt_consolidation,23.62%,CO,MORTGAGE,4389.92,715-719,10,2195,1,8 years,715
14400,14400,0.1311,36,credit_card,10.75%,CA,RENT,5000,680-684,13,19772,0,8 years,680
6000,6000,0.1756,60,vacation,14.88%,NJ,OWN,4416.67,660-664,9,28349,3,10+ years,660
9000,9000,0.0603,36,major_purchase,9.29%,NY,MORTGAGE,14166.67,770-774,13,40909,0,4 years,770
20000,19850,0.1186,60,wedding,15.94%,NJ,RENT,4166.67,735-739,11,3202,0,3 years,735
15000,15000,0.1306,36,house,22.69%,FL,MORTGAGE,3750,685-689,12,21016,0,10+ years,685
20000,20000,0.1114,60,debt_consolidation,23.27%,WA,MORTGAGE,9166.67,735-739,24,53494,2,10+ years,735
13750,13750,0.1969,60,medical,22.01%,FL,MORTGAGE,2916.67,665-669,7,4690,2,2 years,665
6000,6000,0.1719,60,home_improvement,17.80%,VA,MORTGAGE,13625,675-679,10,26688,4,10+ years,675
20000,20000,0.079,36,debt_consolidation,10.32%,AR,MORTGAGE,10400,735-739,14,15626,0,2 years,735
12800,12800,0.1149,60,home_improvement,20.04%,NC,MORTGAGE,3333.33,720-724,13,24723,0,5 years,720
6000,6000,0.0603,36,debt_consolidation,7.77%,NY,MORTGAGE,3666.67,780-784,19,6275,1,4 years,780
12000,12000,0.0751,36,debt_consolidation,13.30%,CA,RENT,7166.67,735-739,16,13715,1,4 years,735
12500,12500,0.1311,36,credit_card,27.76%,PA,RENT,3416.67,690-694,12,14174,0,6 years,690
5000,5000,0.1758,36,other,5.33%,AZ,RENT,1800,665-669,2,1749,0,< 1 year,665
4950,4950,0.1433,36,debt_consolidation,8.95%,FL,OWN,2916.67,675-679,11,7931,2,6 years,675
30000,30000,0.1311,60,other,16.32%,CA,RENT,20416.67,755-759,6,0,0,2 years,755
10000,10000,0.1212,36,debt_consolidation,13.81%,IL,MORTGAGE,6083.33,670-674,13,19263,1,8 years,670
6000,6000,0.1465,36,debt_consolidation,11.89%,TX,MORTGAGE,14333.33,670-674,11,31640,1,10+ years,670
24000,24000,0.079,36,debt_consolidation,20.87%,TX,MORTGAGE,10166.67,750-754,15,29523,1,2 years,750
14000,14000,0.1,60,debt_consolidation,10.40%,NJ,MORTGAGE,11333.33,745-749,6,27477,0,4 years,745
6000,6000,0.0749,36,credit_card,19.33%,IL,RENT,2100,715-719,8,2376,0,2 years,715
22400,22400,0.1311,36,debt_consolidation,16.08%,PA,RENT,7375,690-694,8,9673,0,10+ years,690
8000,8000,0.079,36,vacation,0%,NY,RENT,7300,795-799,2,0,0,10+ years,795
24575,24550,0.2049,36,credit_card,19.28%,CO,MORTGAGE,5166.67,665-669,8,23157,0,10+ years,665
8000,8000,0.1483,60,credit_card,6.29%,NJ,MORTGAGE,4833.33,675-679,8,9676,4,6 years,675
10000,10000,0.1433,36,debt_consolidation,12.69%,FL,MORTGAGE,7916.67,670-674,11,8271,3,6 years,670
29000,27884.92,0.1065,60,debt_consolidation,3.90%,NH,MORTGAGE,15000,745-749,12,55964,0,10+ years,745
5400,5400,0.0603,36,credit_card,4.16%,SD,OWN,2333.33,805-809,9,4224,0,6 years,805
12375,12375,0.0662,36,debt_consolidation,31%,PA,MORTGAGE,3500,735-739,16,14037,0,2 years,735
30000,30000,0.1629,60,debt_consolidation,21.20%,GA,MORTGAGE,6666.67,720-724,14,32854,2,10+ years,720
5000,5000,0.0603,36,major_purchase,2.92%,NY,RENT,3033,770-774,7,3663,0,8 years,770
6200,6200,0.1864,60,credit_card,10.61%,WA,MORTGAGE,4250,670-674,9,5936,3,9 years,670
7000,7000,0.0749,36,major_purchase,7.26%,PA,OWN,6280,750-754,14,353,0,4 years,750
29175,29175,0.21,60,credit_card,8.83%,MA,RENT,12500,695-699,9,15308,2,4 years,695
35000,33645.15,0.1749,60,debt_consolidation,6.01%,NY,MORTGAGE,16133.33,725-729,11,32222,0,2 years,725
6000,6000,0.1689,60,debt_consolidation,9.04%,NY,RENT,2400,680-684,7,7261,2,2 years,680
35000,35000,0.1242,60,debt_consolidation,12.79%,OK,MORTGAGE,12083.33,730-734,15,18385,0,< 1 year,730
16400,12136.46,0.1379,36,small_business,17.43%,VA,MORTGAGE,6074.17,680-684,14,23831,2,1 year,680
8450,8450,0.1349,60,major_purchase,12.73%,TX,MORTGAGE,1375,775-779,2,0,1,2 years,775
18000,18000,0.1799,36,debt_consolidation,20.18%,WA,RENT,6916.67,665-669,15,23786,0,10+ years,665
12375,12325,0.1349,36,debt_consolidation,24.95%,AZ,MORTGAGE,4416.67,675-679,7,32725,0,9 years,675
10000,10000,0.0542,36,home_improvement,1.69%,CA,MORTGAGE,8000,795-799,6,8974,0,3 years,795
2000,2000,0.1409,36,debt_consolidation,28.46%,MI,MORTGAGE,3513.33,680-684,18,23635,3,10+ years,680
12000,12000,0.2198,60,debt_consolidation,12.94%,OH,MORTGAGE,2866.5,665-669,5,9626,1,10+ years,665
5000,5000,0.0762,36,other,16.32%,MA,RENT,3750,740-744,6,1703,3,8 years,740
12000,12000,0.0603,36,major_purchase,2.55%,MO,MORTGAGE,3416.67,785-789,6,3732,0,10+ years,785
6000,6000,0.1399,36,home_improvement,12.98%,WY,MORTGAGE,10000,665-669,9,8230,0,5 years,665
13000,12975,0.0999,60,home_improvement,8.77%,OH,MORTGAGE,10500,800-804,8,6810,0,10+ years,800
4750,4700,0.1727,36,other,18.33%,FL,MORTGAGE,3583.33,755-759,11,2964,2,5 years,755
10000,9925,0.1849,36,small_business,13.37%,OR,MORTGAGE,11250,665-669,13,16740,2,10+ years,665
1000,1000,0.1531,36,moving,24.65%,NV,OWN,3176,675-679,6,10982,2,5 years,675
9600,9600,0.1629,36,debt_consolidation,26.50%,TX,RENT,5166.67,670-674,14,5639,0,3 years,670
3625,3625,0.1409,36,debt_consolidation,11.32%,FL,MORTGAGE,3895,665-669,9,12251,0,10+ years,665
10000,10000,0.1311,36,debt_consolidation,8.11%,CO,OWN,3500,685-689,11,11401,1,10+ years,685
19425,19400,0.1242,60,debt_consolidation,18.45%,CA,MORTGAGE,3225.23,745-749,10,6782,1,2 years,745
8400,8400,0.1367,36,credit_card,17%,TX,RENT,4583.33,695-699,14,20318,2,5 years,695
10000,10000,0.1399,36,debt_consolidation,18.14%,CA,RENT,4166.67,680-684,9,10545,1,3 years,680
6000,6000,0.1323,36,debt_consolidation,22.47%,FL,MORTGAGE,9367,685-689,13,33815,0,1 year,685
10000,10000,0.1433,36,debt_consolidation,25.01%,NV,RENT,4666.67,670-674,9,19479,0,10+ years,670
6000,6000,0.1212,36,debt_consolidation,16.39%,NM,RENT,1312.08,675-679,7,12475,0,1 year,675
16000,16000,0.1531,60,major_purchase,15.74%,NY,RENT,11250,675-679,10,15550,0,2 years,675
22000,21925,0.1727,36,credit_card,18.02%,CA,MORTGAGE,8666.67,660-664,12,9317,2,10+ years,660
25000,24950,0.2127,36,credit_card,8.33%,CA,MORTGAGE,12500,670-674,3,26057,0,10+ years,670
13200,13200,0.1972,36,credit_card,9.07%,CA,MORTGAGE,5083.33,665-669,5,10771,0,10+ years,665
24000,14450,0.0999,60,debt_consolidation,8.08%,AL,MORTGAGE,8083.33,765-769,9,13559,0,10+ years,765
12250,2200,0.1505,36,debt_consolidation,23.80%,GA,MORTGAGE,7416.67,660-664,13,19136,1,8 years,660
21000,21000,0.1114,60,debt_consolidation,16.18%,NY,MORTGAGE,7083.33,705-709,8,22298,1,9 years,705
9000,9000,0.1433,36,credit_card,15.36%,CO,MORTGAGE,7083.33,685-689,19,11077,1,2 years,685
5000,5000,0.1114,36,credit_card,18.30%,OH,RENT,4665.83,690-694,21,4677,0,4 years,690
35000,34975,0.089,36,debt_consolidation,17.90%,LA,OWN,8750,775-779,8,31600,3,< 1 year,775
20000,20000,0.2198,60,credit_card,25.48%,NY,OTHER,6416.67,670-674,15,14115,0,10+ years,670
12000,11975,0.079,36,debt_consolidation,12.78%,VA,RENT,10000,705-709,9,23474,0,< 1 year,705
10000,10000,0.1349,36,credit_card,22.08%,NY,RENT,6000,680-684,8,11088,0,3 years,680
10750,10725,0.1311,36,debt_consolidation,14.02%,MI,MORTGAGE,4416.67,685-689,6,11525,0,10+ years,685
4000,3975,0.1483,36,moving,22.09%,CA,RENT,5600,680-684,8,7900,1,5 years,680
10450,10450,0.1311,36,debt_consolidation,21.33%,TX,RENT,2658.83,705-709,10,13371,1,10+ years,705
3000,2950,0.089,36,home_improvement,16.80%,NY,MORTGAGE,4166.67,725-729,4,8082,0,3 years,725
11000,11000,0.1212,36,debt_consolidation,5.83%,CA,MORTGAGE,4583.33,695-699,11,12361,0,10+ years,695
7500,7500,0.1311,36,debt_consolidation,8.04%,NJ,RENT,2796.8,690-694,4,4788,0,7 years,690
7350,7325,0.1112,36,debt_consolidation,20.15%,OR,MORTGAGE,4000,710-714,17,33178,0,4 years,710
10000,10000,0.1074,36,debt_consolidation,10.42%,NY,RENT,5000,720-724,6,5510,2,3 years,720
8000,8000,0.1727,36,other,12.20%,MI,RENT,1750,665-669,9,5828,0,4 years,665
33600,33600,0.2383,60,debt_consolidation,19.11%,UT,RENT,7666.67,660-664,18,12337,0,10+ years,660
12000,12000,0.1527,60,credit_card,16.85%,VA,RENT,4333.33,700-704,15,17997,1,< 1 year,700
5000,5000,0.1749,60,car,16.71%,PA,RENT,2400,670-674,6,2023,1,3 years,670
10000,10000,0.1114,36,credit_card,11.64%,VA,MORTGAGE,12083.33,715-719,14,38378,1,2 years,715
2075,2075,0.1016,36,debt_consolidation,22%,SC,RENT,2250,700-704,5,7195,0,2 years,700
16000,15825,0.1682,36,credit_card,20.30%,TX,MORTGAGE,6250,665-669,18,30772,5,1 year,665
6000,6000,0.1212,36,credit_card,30.82%,CT,MORTGAGE,4166.67,695-699,8,13250,1,n/a,695
8600,8600,0.1399,36,credit_card,9.09%,CA,RENT,4500,680-684,6,11183,0,5 years,680
16800,16800,0.079,60,debt_consolidation,3.34%,FL,MORTGAGE,10666.67,815-819,7,4757,0,10+ years,815
7200,7200,0.0751,36,medical,4.43%,NJ,RENT,3000,755-759,6,75,1,6 years,755
9000,9000,0.1311,36,wedding,24.88%,CA,MORTGAGE,5000,700-704,12,4621,3,6 years,700
10000,9767.84,0.1287,36,debt_consolidation,21.28%,GA,MORTGAGE,8333.33,715-719,24,9470,1,< 1 year,715
11350,11350,0.1409,36,debt_consolidation,27.41%,AZ,RENT,2783.33,675-679,14,11031,0,< 1 year,675
6000,6000,0.1727,60,home_improvement,11.20%,TX,MORTGAGE,8750,685-689,5,10980,2,6 years,685
4000,4000,0.1212,36,small_business,18.44%,AL,RENT,2250,680-684,7,1955,0,< 1 year,680
6400,6400,0.1074,36,debt_consolidation,19.23%,DC,RENT,3833.33,690-694,13,10451,0,< 1 year,690
3000,3000,0.1825,36,debt_consolidation,23.18%,AL,MORTGAGE,4820,660-664,23,7949,3,7 years,660
1125,1125,0.0579,36,credit_card,17.68%,FL,OWN,3083.33,750-754,8,3935,0,6 years,750
28000,27950,0.1311,60,small_business,0%,CO,RENT,4806,795-799,6,0,1,4 years,795
6000,6000,0.089,36,credit_card,24.57%,CA,RENT,6666.67,685-689,22,6462,0,2 years,685
5000,5000,0.0603,36,other,6.11%,TX,MORTGAGE,5416.67,795-799,13,4956,0,8 years,795
20000,19975,0.203,60,debt_consolidation,20.91%,AK,OWN,4916.67,665-669,16,32137,2,10+ years,665
9200,9200,0.0749,36,credit_card,21.52%,PA,RENT,2416.67,730-734,10,21323,1,10+ years,730
35000,35000,0.1311,60,other,12.02%,CA,MORTGAGE,20833.33,740-744,13,40765,0,5 years,740
18000,18000,0.2049,60,debt_consolidation,29.25%,CA,RENT,3750,675-679,18,8165,0,6 years,675
8250,8250,0.0749,36,credit_card,24.19%,CO,RENT,2100,720-724,7,9469,0,1 year,720
1200,1200,0.0749,36,other,17.88%,AL,OWN,1666.67,710-714,10,9154,0,10+ years,710
10000,10000,0.0963,36,credit_card,17.96%,NY,RENT,7500,705-709,8,52045,0,10+ years,705
35000,35000,0.1727,60,debt_consolidation,15.30%,MA,MORTGAGE,9000,700-704,8,41226,1,10+ years,700
18000,18000,0.1531,36,debt_consolidation,15.56%,NM,MORTGAGE,6666.67,690-694,10,21174,0,10+ years,690
20000,19975,0.1839,60,debt_consolidation,15.61%,MD,MORTGAGE,7000,705-709,6,20642,2,10+ years,705
5500,5500,0.1114,36,credit_card,32.16%,PA,OWN,1666.67,690-694,7,8826,0,3 years,690
35000,35000,0.2247,60,debt_consolidation,18.95%,FL,OWN,9583.33,660-664,9,14184,1,n/a,660
35000,35000,0.2198,60,credit_card,14.68%,NY,RENT,9166.67,695-699,12,37424,0,3 years,695
20950,20875,0.2149,60,debt_consolidation,27.56%,NY,MORTGAGE,4500,675-679,15,24210,1,6 years,675
1500,1500,0.0963,36,other,16.98%,AZ,MORTGAGE,7725,695-699,14,30626,0,6 years,695
12000,12000,0.1999,36,debt_consolidation,15.16%,KY,RENT,4458.33,660-664,8,13935,1,4 years,660
10000,9975,0.1433,36,debt_consolidation,13%,CA,MORTGAGE,3625,690-694,10,8464,2,< 1 year,690
9750,9750,0.1849,36,debt_consolidation,11.59%,TX,OWN,2666.67,660-664,7,8172,0,3 years,660
5600,5575,0.0749,36,debt_consolidation,24.74%,WA,RENT,2583,740-744,6,2454,1,2 years,740
11200,11200,0.1311,60,debt_consolidation,11.73%,CA,MORTGAGE,3333.33,720-724,8,8747,0,10+ years,720
4000,3975,0.1343,36,small_business,7.60%,PA,RENT,1750,670-674,7,7178,3,< 1 year,670
7000,7000,0.089,36,small_business,15.79%,PA,MORTGAGE,4700,700-704,12,7012,0,1 year,700
18000,18000,0.0603,36,debt_consolidation,10.75%,CA,MORTGAGE,7916.67,735-739,13,14007,2,7 years,735
5000,5000,0.1261,36,debt_consolidation,13.40%,CA,RENT,2000,695-699,9,1753,0,2 years,695
10000,9975,0.0925,36,small_business,5.60%,VA,RENT,4000,705-709,7,8528,0,< 1 year,705
9800,9800,0.1969,60,debt_consolidation,14.89%,RI,MORTGAGE,5340.25,665-669,8,5350,1,2 years,665
20000,19975,0.1212,36,credit_card,19.82%,UT,MORTGAGE,6750,685-689,14,21637,0,5 years,685
5100,4950,0.1829,36,debt_consolidation,25.67%,NJ,RENT,3000,640-644,14,5004,6,< 1 year,640
8875,8875,0.1114,36,debt_consolidation,31.70%,TX,RENT,2160,700-704,19,17422,0,10+ years,700
4400,4400,0.0599,36,major_purchase,17.93%,PA,OWN,4000,765-769,6,9945,1,5 years,765
35000,23350,0.1171,60,small_business,8.07%,CA,MORTGAGE,7500,745-749,6,5660,0,3 years,745
3000,3000,0.1849,36,credit_card,16.07%,NJ,OWN,2916.67,660-664,9,6403,0,< 1 year,660
4800,4800,0.1242,36,moving,5.31%,NY,RENT,3500,690-694,8,5093,0,5 years,690
5375,5375,0.1171,36,debt_consolidation,28.75%,KY,MORTGAGE,2166.67,720-724,5,15475,1,8 years,720
14000,14000,0.1199,60,debt_consolidation,19.52%,TX,MORTGAGE,6333.33,705-709,12,32213,0,< 1 year,705
19800,19775,0.1323,36,credit_card,20.09%,MO,MORTGAGE,6666.67,730-734,8,31220,0,< 1 year,730
13025,13025,0.1311,36,credit_card,7.75%,UT,MORTGAGE,4333.33,675-679,6,13029,0,10+ years,675
18000,18000,0.1849,36,debt_consolidation,20.56%,CA,RENT,9333.33,675-679,12,37526,1,6 years,675
2500,2275.77,0.0768,36,major_purchase,17.59%,OR,MORTGAGE,3666.67,785-789,6,406,0,10+ years,785
5000,4985.44,0.0714,36,debt_consolidation,11.40%,CT,OWN,4166.67,755-759,6,16666,1,5 years,755
4500,4500,0.1114,36,credit_card,9.73%,CT,RENT,2916.67,685-689,13,4265,0,4 years,685
15000,15000,0.089,36,debt_consolidation,8.56%,MO,RENT,7500,740-744,8,8343,1,< 1 year,740
35000,35000,0.2049,60,debt_consolidation,11.84%,TX,MORTGAGE,18750,715-719,14,41707,2,1 year,715
4500,4500,0.0849,36,credit_card,2.54%,TX,RENT,2166.67,795-799,2,527,1,3 years,795
4500,4500,0.1727,36,debt_consolidation,16.59%,PA,RENT,4666.67,675-679,24,893,1,3 years,675
1450,1450,0.0751,36,other,22.20%,MA,RENT,833.33,740-744,9,709,0,n/a,740
6000,6000,0.1496,36,small_business,11.55%,TX,RENT,7083.33,760-764,7,5341,0,2 years,760
4500,4500,0.0654,36,medical,15.82%,NC,MORTGAGE,3250,725-729,16,6049,0,10+ years,725
14000,14000,0.0662,36,debt_consolidation,20.18%,TX,RENT,4583.33,750-754,15,15890,1,10+ years,750
15000,15000,0.0603,36,debt_consolidation,8.72%,MA,MORTGAGE,12000,800-804,17,13151,0,2 years,800
22000,14550,0.1099,60,debt_consolidation,15.83%,TX,MORTGAGE,5243.75,760-764,18,14115,0,2 years,760
10000,1300,0.1103,36,credit_card,11.03%,GA,MORTGAGE,6666.67,695-699,8,43712,0,4 years,695
35000,35000,0.2049,36,debt_consolidation,20.82%,TX,MORTGAGE,12333.33,700-704,23,36870,0,10+ years,700
10000,10000,0.2049,36,debt_consolidation,18.75%,TX,RENT,5250,685-689,25,3802,1,3 years,685
6000,6000,0.1398,60,medical,24.29%,CA,RENT,2400,695-699,11,6069,4,9 years,695
10000,10000,0.158,36,debt_consolidation,13.10%,AK,MORTGAGE,4458.33,675-679,7,6413,1,< 1 year,675
10000,9950,0.0894,36,debt_consolidation,13.73%,CO,RENT,3125,785-789,5,417,2,1 year,785
12000,3639.28,0.133,36,debt_consolidation,12.77%,CA,RENT,3000,660-664,15,8480,4,6 years,660
9600,9600,0.1465,36,credit_card,2.21%,CA,RENT,5833.33,675-679,7,5879,1,7 years,675
17800,17775,0.2211,60,debt_consolidation,5.86%,NC,RENT,7000,660-664,9,6708,0,6 years,660
2000,2000,0.0762,36,major_purchase,24.69%,TX,MORTGAGE,4333.33,765-769,10,2792,4,10+ years,765
18825,18825,0.21,60,debt_consolidation,19.22%,CT,RENT,4583.33,680-684,8,17292,2,10+ years,680
3000,2509.17,0.1306,36,house,12.06%,NV,RENT,2571.42,705-709,2,0,3,6 years,705
2000,2000,0.1311,36,debt_consolidation,19.13%,KY,RENT,2916.67,670-674,7,4376,0,10+ years,670
